Year,STATE/UT,DISTRICT,Insult_to_modesty_of_Women
2013,madhyapradesh,dindori,8
2001,daman&diu,diu,0
2002,daman&diu,diu,0
2003,daman&diu,diu,0
2004,daman&diu,diu,0
2005,daman&diu,diu,0
2006,daman&diu,diu,0
2007,daman&diu,diu,0
2008,daman&diu,diu,1
2009,daman&diu,diu,0
2010,daman&diu,diu,0
2011,daman&diu,diu,0
2012,daman&diu,diu,0
2013,daman&diu,diu,0
2001,jammu&kashmir,doda,2
2002,jammu&kashmir,doda,4
2003,jammu&kashmir,doda,4
2004,jammu&kashmir,doda,3
2005,jammu&kashmir,doda,2
2006,jammu&kashmir,doda,7
2007,jammu&kashmir,doda,5
2008,jammu&kashmir,doda,4
2009,jammu&kashmir,doda,10
2010,jammu&kashmir,doda,6
2011,jammu&kashmir,doda,7
2012,jammu&kashmir,doda,5
2013,jammu&kashmir,doda,9
2001,jharkhand,dumka,0
2002,jharkhand,dumka,0
2003,jharkhand,dumka,0
2004,jharkhand,dumka,0
2005,jharkhand,dumka,7
2006,jharkhand,dumka,0
2007,jharkhand,dumka,0
2008,jharkhand,dumka,0
2009,jharkhand,dumka,0
2010,jharkhand,dumka,0
2011,jharkhand,dumka,0
2012,jharkhand,dumka,0
2013,jharkhand,dumka,0
2001,rajasthan,dungarpur,0
2002,rajasthan,dungarpur,1
2003,rajasthan,dungarpur,1
2004,rajasthan,dungarpur,0
2005,rajasthan,dungarpur,0
2006,rajasthan,dungarpur,0
2007,rajasthan,dungarpur,0
2008,rajasthan,dungarpur,0
2009,rajasthan,dungarpur,0
2010,rajasthan,dungarpur,0
2011,rajasthan,dungarpur,0
2012,rajasthan,dungarpur,0
2013,rajasthan,dungarpur,0
2001,chhattisgarh,durg,38
2002,chhattisgarh,durg,33
2003,chhattisgarh,durg,31
2004,chhattisgarh,durg,23
2005,chhattisgarh,durg,23
2006,chhattisgarh,durg,27
2007,chhattisgarh,durg,13
2008,chhattisgarh,durg,17
2009,chhattisgarh,durg,20
2010,chhattisgarh,durg,36
2011,chhattisgarh,durg,43
2012,chhattisgarh,durg,25
2013,chhattisgarh,durg,34
2001,sikkim,east,8
2001,delhi,east,11
2002,sikkim,east,0
2002,delhi,east,6
2003,sikkim,east,0
2003,delhi,east,8
2004,sikkim,east,0
2004,delhi,east,6
2005,sikkim,east,0
2005,delhi,east,16
2006,sikkim,east,0
2006,delhi,east,19
2007,sikkim,east,0
2007,delhi,east,24
2008,sikkim,east,0
2008,delhi,east,14
2009,sikkim,east,0
2009,delhi,east,10
2010,sikkim,east,0
2010,delhi,east,8
2011,sikkim,east,0
2011,delhi,east,17
2012,sikkim,east,0
2012,delhi,east,26
2013,sikkim,east,0
2013,delhi,east,133
2001,andhrapradesh,east_godavari,58
2002,andhrapradesh,east_godavari,73
2003,andhrapradesh,east_godavari,110
2004,andhrapradesh,east_godavari,105
2005,andhrapradesh,east_godavari,119
2006,andhrapradesh,east_godavari,107
2007,andhrapradesh,east_godavari,131
2008,andhrapradesh,east_godavari,131
2009,andhrapradesh,east_godavari,178
2010,andhrapradesh,east_godavari,188
2011,andhrapradesh,east_godavari,224
2012,andhrapradesh,east_godavari,160
2013,andhrapradesh,east_godavari,222
2001,tamilnadu,erode,16
2002,tamilnadu,erode,6
2003,tamilnadu,erode,10
2004,tamilnadu,erode,5
2005,tamilnadu,erode,11
2006,tamilnadu,erode,3
2007,tamilnadu,erode,7
2008,tamilnadu,erode,16
2009,tamilnadu,erode,9
2010,tamilnadu,erode,2
2011,tamilnadu,erode,3
2012,tamilnadu,erode,0
2013,tamilnadu,erode,0
2001,uttarpradesh,etah,24
2002,uttarpradesh,etah,15
2003,uttarpradesh,etah,15
2004,uttarpradesh,etah,7
2005,uttarpradesh,etah,26
2006,uttarpradesh,etah,31
2007,uttarpradesh,etah,22
2008,uttarpradesh,etah,17
2009,uttarpradesh,etah,13
2010,uttarpradesh,etah,0
2011,uttarpradesh,etah,0
2012,uttarpradesh,etah,0
2013,uttarpradesh,etah,1
2001,uttarpradesh,etawah,26
2002,uttarpradesh,etawah,11
2003,uttarpradesh,etawah,6
2004,uttarpradesh,etawah,10
2005,uttarpradesh,etawah,35
2006,uttarpradesh,etawah,22
2007,uttarpradesh,etawah,37
2008,uttarpradesh,etawah,29
2009,uttarpradesh,etawah,39
2010,uttarpradesh,etawah,0
2011,uttarpradesh,etawah,0
2012,uttarpradesh,etawah,0
2013,uttarpradesh,etawah,0
2001,uttarpradesh,faizabad,18
2002,uttarpradesh,faizabad,24
2003,uttarpradesh,faizabad,42
2004,uttarpradesh,faizabad,25
2005,uttarpradesh,faizabad,29
2006,uttarpradesh,faizabad,24
2007,uttarpradesh,faizabad,37
2008,uttarpradesh,faizabad,43
2009,uttarpradesh,faizabad,21
2010,uttarpradesh,faizabad,0
2011,uttarpradesh,faizabad,0
2012,uttarpradesh,faizabad,0
2013,uttarpradesh,faizabad,1
2001,haryana,faridabad,242
2002,haryana,faridabad,1122
2003,haryana,faridabad,980
2004,haryana,faridabad,585
2005,haryana,faridabad,253
2006,haryana,faridabad,144
2007,haryana,faridabad,0
2008,haryana,faridabad,97
2009,haryana,faridabad,4
2010,haryana,faridabad,78
2011,haryana,faridabad,59
2012,haryana,faridabad,84
2013,haryana,faridabad,56
2001,punjab,faridkot,0
2002,punjab,faridkot,0
2003,punjab,faridkot,0
2004,punjab,faridkot,1
2005,punjab,faridkot,0
2006,punjab,faridkot,1
2007,punjab,faridkot,0
2008,punjab,faridkot,0
2009,punjab,faridkot,0
2010,punjab,faridkot,0
2011,punjab,faridkot,0
2012,punjab,faridkot,1
2013,punjab,faridkot,0
2001,haryana,fatehabad,0
2002,haryana,fatehabad,5
2003,haryana,fatehabad,4
2004,haryana,fatehabad,3
2005,haryana,fatehabad,8
2006,haryana,fatehabad,7
2007,haryana,fatehabad,12
2008,haryana,fatehabad,13
2009,haryana,fatehabad,7
2010,haryana,fatehabad,9
2011,haryana,fatehabad,8
2012,haryana,fatehabad,7
2013,haryana,fatehabad,25
2001,uttarpradesh,fatehgarh,28
2002,uttarpradesh,fatehgarh,0
2003,uttarpradesh,fatehgarh,68
2004,uttarpradesh,fatehgarh,14
2005,uttarpradesh,fatehgarh,15
2006,uttarpradesh,fatehgarh,9
2007,uttarpradesh,fatehgarh,16
2008,uttarpradesh,fatehgarh,56
2009,uttarpradesh,fatehgarh,16
2010,uttarpradesh,fatehgarh,0
2011,uttarpradesh,fatehgarh,0
2012,uttarpradesh,fatehgarh,0
2013,uttarpradesh,fatehgarh,0
2001,punjab,fatehgarh_sahib,1
2002,punjab,fatehgarh_sahib,1
2003,punjab,fatehgarh_sahib,2
2004,punjab,fatehgarh_sahib,1
2005,punjab,fatehgarh_sahib,1
2006,punjab,fatehgarh_sahib,0
2007,punjab,fatehgarh_sahib,6
2008,punjab,fatehgarh_sahib,1
2009,punjab,fatehgarh_sahib,3
2010,punjab,fatehgarh_sahib,2
2011,punjab,fatehgarh_sahib,1
2012,punjab,fatehgarh_sahib,1
2013,punjab,fatehgarh_sahib,0
2001,uttarpradesh,fatehpur,15
2002,uttarpradesh,fatehpur,12
2003,uttarpradesh,fatehpur,19
2004,uttarpradesh,fatehpur,19
2005,uttarpradesh,fatehpur,9
2006,uttarpradesh,fatehpur,21
2007,uttarpradesh,fatehpur,21
2008,uttarpradesh,fatehpur,15
2009,uttarpradesh,fatehpur,13
2010,uttarpradesh,fatehpur,2
2011,uttarpradesh,fatehpur,0
2012,uttarpradesh,fatehpur,0
2013,uttarpradesh,fatehpur,0
2001,uttarpradesh,firozabad,69
2002,uttarpradesh,firozabad,46
2003,uttarpradesh,firozabad,89
2004,uttarpradesh,firozabad,33
2005,uttarpradesh,firozabad,42
2006,uttarpradesh,firozabad,38
2007,uttarpradesh,firozabad,51
2008,uttarpradesh,firozabad,77
2009,uttarpradesh,firozabad,35
2010,uttarpradesh,firozabad,0
2011,uttarpradesh,firozabad,0
2012,uttarpradesh,firozabad,0
2013,uttarpradesh,firozabad,0
2001,punjab,g.r.p,0
2002,punjab,g.r.p,0
2003,punjab,g.r.p,0
2004,punjab,g.r.p,0
2005,punjab,g.r.p,0
2006,punjab,g.r.p,0
2007,punjab,g.r.p,0
2008,punjab,g.r.p,0
2009,punjab,g.r.p,0
2010,punjab,g.r.p,0
2011,punjab,g.r.p,0
2012,punjab,g.r.p,0
2013,punjab,g.r.p,0
2001,assam,g.r.p.,0
2001,himachalpradesh,g.r.p.,0
2001,rajasthan,g.r.p.,0
2001,uttarpradesh,g.r.p.,71
2002,assam,g.r.p.,0
2002,himachalpradesh,g.r.p.,0
2002,rajasthan,g.r.p.,0
2002,uttarpradesh,g.r.p.,31
2003,assam,g.r.p.,0
2003,himachalpradesh,g.r.p.,0
2003,rajasthan,g.r.p.,2
2003,uttarpradesh,g.r.p.,24
2004,assam,g.r.p.,0
2004,himachalpradesh,g.r.p.,0
2004,rajasthan,g.r.p.,0
2004,uttarpradesh,g.r.p.,38
2005,assam,g.r.p.,0
2005,himachalpradesh,g.r.p.,0
2005,rajasthan,g.r.p.,1
2005,uttarpradesh,g.r.p.,26
2006,assam,g.r.p.,0
2006,himachalpradesh,g.r.p.,0
2006,rajasthan,g.r.p.,0
2006,uttarpradesh,g.r.p.,24
2007,assam,g.r.p.,0
2007,himachalpradesh,g.r.p.,0
2007,rajasthan,g.r.p.,4
2007,uttarpradesh,g.r.p.,23
2008,assam,g.r.p.,0
2008,himachalpradesh,g.r.p.,0
2008,rajasthan,g.r.p.,0
2008,uttarpradesh,g.r.p.,38
2009,assam,g.r.p.,0
2009,himachalpradesh,g.r.p.,0
2009,rajasthan,g.r.p.,0
2009,uttarpradesh,g.r.p.,57
2010,assam,g.r.p.,0
2010,himachalpradesh,g.r.p.,0
2010,tripura,g.r.p.,0
2010,uttarpradesh,g.r.p.,0
2011,assam,g.r.p.,0
2011,himachalpradesh,g.r.p.,0
2011,uttarpradesh,g.r.p.,0
2012,assam,g.r.p.,1
2012,himachalpradesh,g.r.p.,0
2012,uttarpradesh,g.r.p.,0
2013,assam,g.r.p.,0
2013,himachalpradesh,g.r.p.,0
2013,uttarpradesh,g.r.p.,0
2001,karnataka,gadag,0
2002,karnataka,gadag,0
2003,karnataka,gadag,0
2004,karnataka,gadag,0
2005,karnataka,gadag,0
2006,karnataka,gadag,1
2007,karnataka,gadag,0
2008,karnataka,gadag,1
2009,karnataka,gadag,0
2010,karnataka,gadag,0
2011,karnataka,gadag,0
2012,karnataka,gadag,0
2013,karnataka,gadag,0
2001,maharashtra,gadchiroli,17
2002,maharashtra,gadchiroli,15
2003,maharashtra,gadchiroli,20
2004,maharashtra,gadchiroli,11
2005,maharashtra,gadchiroli,4
2006,maharashtra,gadchiroli,5
2007,maharashtra,gadchiroli,7
2008,maharashtra,gadchiroli,7
2009,maharashtra,gadchiroli,6
2010,maharashtra,gadchiroli,0
2011,maharashtra,gadchiroli,3
2012,maharashtra,gadchiroli,5
2013,maharashtra,gadchiroli,6
2001,odisha,gajapati,2
2002,odisha,gajapati,1
2003,odisha,gajapati,1
2004,odisha,gajapati,4
2005,odisha,gajapati,2
2006,odisha,gajapati,0
2007,odisha,gajapati,2
2008,odisha,gajapati,6
2009,odisha,gajapati,9
2010,odisha,gajapati,2
2011,odisha,gajapati,3
2012,odisha,gajapati,3
2013,odisha,gajapati,6
2001,jammu&kashmir,ganderbal,4
2002,jammu&kashmir,ganderbal,6
2003,jammu&kashmir,ganderbal,6
2004,jammu&kashmir,ganderbal,7
2005,jammu&kashmir,ganderbal,4
2006,jammu&kashmir,ganderbal,5
2007,jammu&kashmir,ganderbal,3
2008,jammu&kashmir,ganderbal,1
2009,jammu&kashmir,ganderbal,2
2010,jammu&kashmir,ganderbal,0
2011,jammu&kashmir,ganderbal,1
2012,jammu&kashmir,ganderbal,3
2013,jammu&kashmir,ganderbal,4
2001,gujarat,gandhinagar,7
2002,gujarat,gandhinagar,5
2003,gujarat,gandhinagar,2
2004,gujarat,gandhinagar,3
2005,gujarat,gandhinagar,4
2006,gujarat,gandhinagar,6
2007,gujarat,gandhinagar,2
2008,gujarat,gandhinagar,2
2009,gujarat,gandhinagar,3
2010,gujarat,gandhinagar,4
2011,gujarat,gandhinagar,1
2012,gujarat,gandhinagar,1
2013,gujarat,gandhinagar,6
2001,rajasthan,ganganagar,2
2002,rajasthan,ganganagar,1
2003,rajasthan,ganganagar,0
2004,rajasthan,ganganagar,2
2005,rajasthan,ganganagar,0
2006,rajasthan,ganganagar,1
2007,rajasthan,ganganagar,2
2008,rajasthan,ganganagar,2
2009,rajasthan,ganganagar,1
2010,rajasthan,ganganagar,2
2011,rajasthan,ganganagar,1
2012,rajasthan,ganganagar,2
2013,rajasthan,ganganagar,3
2001,odisha,ganjam,6
2002,odisha,ganjam,9
2003,odisha,ganjam,10
2004,odisha,ganjam,4
2005,odisha,ganjam,10
2006,odisha,ganjam,6
2007,odisha,ganjam,14
2008,odisha,ganjam,16
2009,odisha,ganjam,21
2010,odisha,ganjam,19
2011,odisha,ganjam,15
2012,odisha,ganjam,27
2013,odisha,ganjam,39
2001,jharkhand,garhwa,0
2002,jharkhand,garhwa,0
2003,jharkhand,garhwa,0
2004,jharkhand,garhwa,0
2005,jharkhand,garhwa,2
2006,jharkhand,garhwa,0
2007,jharkhand,garhwa,0
2008,jharkhand,garhwa,0
2009,jharkhand,garhwa,0
2010,jharkhand,garhwa,0
2011,jharkhand,garhwa,0
2012,jharkhand,garhwa,0
2013,jharkhand,garhwa,0
2001,meghalaya,garo_hills_east,0
2002,meghalaya,garo_hills_east,0
2003,meghalaya,garo_hills_east,0
2004,meghalaya,garo_hills_east,0
2005,meghalaya,garo_hills_east,0
2006,meghalaya,garo_hills_east,0
2007,meghalaya,garo_hills_east,0
2008,meghalaya,garo_hills_east,0
2009,meghalaya,garo_hills_east,1
2010,meghalaya,garo_hills_east,0
2011,meghalaya,garo_hills_east,0
2012,meghalaya,garo_hills_east,0
2013,meghalaya,garo_hills_east,0
2001,meghalaya,garo_hills_south,0
2002,meghalaya,garo_hills_south,0
2003,meghalaya,garo_hills_south,0
2004,meghalaya,garo_hills_south,0
2005,meghalaya,garo_hills_south,0
2006,meghalaya,garo_hills_south,0
2007,meghalaya,garo_hills_south,0
2008,meghalaya,garo_hills_south,0
2009,meghalaya,garo_hills_south,0
2010,meghalaya,garo_hills_south,0
2011,meghalaya,garo_hills_south,0
2012,meghalaya,garo_hills_south,0
2013,meghalaya,garo_hills_south,0
2001,meghalaya,garo_hills_west,0
2002,meghalaya,garo_hills_west,0
2003,meghalaya,garo_hills_west,0
2004,meghalaya,garo_hills_west,0
2005,meghalaya,garo_hills_west,0
2006,meghalaya,garo_hills_west,0
2007,meghalaya,garo_hills_west,1
2008,meghalaya,garo_hills_west,3
2009,meghalaya,garo_hills_west,0
2010,meghalaya,garo_hills_west,0
2011,meghalaya,garo_hills_west,1
2012,meghalaya,garo_hills_west,0
2013,meghalaya,garo_hills_west,0
2001,uttarpradesh,gautambudh_nagar,40
2002,uttarpradesh,gautambudh_nagar,30
2003,uttarpradesh,gautambudh_nagar,19
2004,uttarpradesh,gautambudh_nagar,56
2005,uttarpradesh,gautambudh_nagar,43
2006,uttarpradesh,gautambudh_nagar,57
2007,uttarpradesh,gautambudh_nagar,51
2008,uttarpradesh,gautambudh_nagar,53
2009,uttarpradesh,gautambudh_nagar,46
2010,uttarpradesh,gautambudh_nagar,0
2011,uttarpradesh,gautambudh_nagar,0
2012,uttarpradesh,gautambudh_nagar,0
2013,uttarpradesh,gautambudh_nagar,6
2001,bihar,gaya,0
2002,bihar,gaya,0
2003,bihar,gaya,0
2004,bihar,gaya,0
2005,bihar,gaya,0
2006,bihar,gaya,0
2007,bihar,gaya,0
2008,bihar,gaya,0
2009,bihar,gaya,0
2010,bihar,gaya,0
2011,bihar,gaya,0
2012,bihar,gaya,0
2013,bihar,gaya,0
2001,uttarpradesh,ghaziabad,138
2002,uttarpradesh,ghaziabad,108
2003,uttarpradesh,ghaziabad,65
2004,uttarpradesh,ghaziabad,94
2005,uttarpradesh,ghaziabad,92
2006,uttarpradesh,ghaziabad,93
2007,uttarpradesh,ghaziabad,85
2008,uttarpradesh,ghaziabad,83
2009,uttarpradesh,ghaziabad,182
2010,uttarpradesh,ghaziabad,0
2011,uttarpradesh,ghaziabad,0
2012,uttarpradesh,ghaziabad,0
2013,uttarpradesh,ghaziabad,0
2001,uttarpradesh,ghazipur,29
2002,uttarpradesh,ghazipur,12
2003,uttarpradesh,ghazipur,24
2004,uttarpradesh,ghazipur,15
2005,uttarpradesh,ghazipur,20
2006,uttarpradesh,ghazipur,17
2007,uttarpradesh,ghazipur,23
2008,uttarpradesh,ghazipur,15
2009,uttarpradesh,ghazipur,22
2010,uttarpradesh,ghazipur,0
2011,uttarpradesh,ghazipur,0
2012,uttarpradesh,ghazipur,0
2013,uttarpradesh,ghazipur,1
2001,jharkhand,giridih,0
2002,jharkhand,giridih,0
2003,jharkhand,giridih,0
2004,jharkhand,giridih,0
2005,jharkhand,giridih,0
2006,jharkhand,giridih,0
2007,jharkhand,giridih,0
2008,jharkhand,giridih,1
2009,jharkhand,giridih,51
2010,jharkhand,giridih,4
2011,jharkhand,giridih,2
2012,jharkhand,giridih,0
2013,jharkhand,giridih,0
2001,assam,goalpara,0
2002,assam,goalpara,0
2003,assam,goalpara,0
2004,assam,goalpara,0
2005,assam,goalpara,0
2006,assam,goalpara,0
2007,assam,goalpara,0
2008,assam,goalpara,0
2009,assam,goalpara,0
2010,assam,goalpara,0
2011,assam,goalpara,0
2012,assam,goalpara,0
2013,assam,goalpara,0
2001,jharkhand,godda,0
2002,jharkhand,godda,0
2003,jharkhand,godda,0
2004,jharkhand,godda,0
2005,jharkhand,godda,0
2006,jharkhand,godda,0
2007,jharkhand,godda,0
2008,jharkhand,godda,0
2009,jharkhand,godda,0
2010,jharkhand,godda,0
2011,jharkhand,godda,0
2012,jharkhand,godda,0
2013,jharkhand,godda,0
2001,assam,golaghat,0
2002,assam,golaghat,0
2003,assam,golaghat,0
2004,assam,golaghat,0
2005,assam,golaghat,0
2006,assam,golaghat,0
2007,assam,golaghat,0
2008,assam,golaghat,0
2009,assam,golaghat,0
2010,assam,golaghat,0
2011,assam,golaghat,0
2012,assam,golaghat,0
2013,assam,golaghat,0
2001,uttarpradesh,gonda,13
2002,uttarpradesh,gonda,16
2003,uttarpradesh,gonda,215
2004,uttarpradesh,gonda,63
2005,uttarpradesh,gonda,23
2006,uttarpradesh,gonda,23
2007,uttarpradesh,gonda,9
2008,uttarpradesh,gonda,10
2009,uttarpradesh,gonda,12
2010,uttarpradesh,gonda,0
2011,uttarpradesh,gonda,0
2012,uttarpradesh,gonda,0
2013,uttarpradesh,gonda,0
2001,maharashtra,gondia,22
2002,maharashtra,gondia,15
2003,maharashtra,gondia,26
2004,maharashtra,gondia,10
2005,maharashtra,gondia,19
2006,maharashtra,gondia,12
2007,maharashtra,gondia,32
2008,maharashtra,gondia,25
2009,maharashtra,gondia,21
2010,maharashtra,gondia,27
2011,maharashtra,gondia,19
2012,maharashtra,gondia,18
2013,maharashtra,gondia,10
2001,bihar,gopalganj,2
2002,bihar,gopalganj,0
2003,bihar,gopalganj,6
2004,bihar,gopalganj,9
2005,bihar,gopalganj,6
2006,bihar,gopalganj,0
2007,bihar,gopalganj,0
2008,bihar,gopalganj,0
2009,bihar,gopalganj,0
2010,bihar,gopalganj,0
2011,bihar,gopalganj,0
2012,bihar,gopalganj,0
2013,bihar,gopalganj,0
2001,uttarpradesh,gorakhpur,36
2002,uttarpradesh,gorakhpur,19
2003,uttarpradesh,gorakhpur,25
2004,uttarpradesh,gorakhpur,43
2005,uttarpradesh,gorakhpur,25
2006,uttarpradesh,gorakhpur,45
2007,uttarpradesh,gorakhpur,76
2008,uttarpradesh,gorakhpur,43
2009,uttarpradesh,gorakhpur,47
2010,uttarpradesh,gorakhpur,0
2011,uttarpradesh,gorakhpur,0
2012,uttarpradesh,gorakhpur,0
2013,uttarpradesh,gorakhpur,0
2001,haryana,grp,26
2002,haryana,grp,58
2003,haryana,grp,50
2004,haryana,grp,111
2005,haryana,grp,116
2006,haryana,grp,113
2007,haryana,grp,153
2008,haryana,grp,158
2009,haryana,grp,216
2010,haryana,grp,144
2011,haryana,grp,130
2011,tripura,grp,0
2012,haryana,grp,83
2012,tripura,grp,0
2013,haryana,grp,51
2013,tripura,grp,0
2001,chhattisgarh,grp_raipur,0
2002,chhattisgarh,grp_raipur,0
2003,chhattisgarh,grp_raipur,2
2004,chhattisgarh,grp_raipur,0
2005,chhattisgarh,grp_raipur,0
2006,chhattisgarh,grp_raipur,2
2007,chhattisgarh,grp_raipur,0
2008,chhattisgarh,grp_raipur,2
2009,chhattisgarh,grp_raipur,0
2010,chhattisgarh,grp_raipur,0
2011,chhattisgarh,grp_raipur,0
2012,chhattisgarh,grp_raipur,0
2013,chhattisgarh,grp_raipur,0
2001,karnataka,gulbarga,1
2002,karnataka,gulbarga,6
2003,karnataka,gulbarga,0
2004,karnataka,gulbarga,0
2005,karnataka,gulbarga,0
2006,karnataka,gulbarga,0
2007,karnataka,gulbarga,0
2008,karnataka,gulbarga,0
2009,karnataka,gulbarga,0
2010,karnataka,gulbarga,0
2011,karnataka,gulbarga,0
2012,karnataka,gulbarga,0
2013,karnataka,gulbarga,0
2001,jharkhand,gumla,0
2002,jharkhand,gumla,0
2003,jharkhand,gumla,0
2004,jharkhand,gumla,0
2005,jharkhand,gumla,0
2006,jharkhand,gumla,0
2007,jharkhand,gumla,0
2008,jharkhand,gumla,0
2009,jharkhand,gumla,0
2010,jharkhand,gumla,0
2011,jharkhand,gumla,0
2012,jharkhand,gumla,0
2013,jharkhand,gumla,0
2001,madhyapradesh,guna,22
2002,madhyapradesh,guna,35
2003,madhyapradesh,guna,7
2004,madhyapradesh,guna,13
2005,madhyapradesh,guna,18
2006,madhyapradesh,guna,17
2007,madhyapradesh,guna,23
2008,madhyapradesh,guna,16
2009,madhyapradesh,guna,14
2010,madhyapradesh,guna,9
2011,madhyapradesh,guna,14
2012,madhyapradesh,guna,11
2013,madhyapradesh,guna,18
2001,andhrapradesh,guntakal_rly.,0
2002,andhrapradesh,guntakal_rly.,0
2003,andhrapradesh,guntakal_rly.,0
2004,andhrapradesh,guntakal_rly.,0
2005,andhrapradesh,guntakal_rly.,0
2006,andhrapradesh,guntakal_rly.,1
2007,andhrapradesh,guntakal_rly.,4
2008,andhrapradesh,guntakal_rly.,1
2009,andhrapradesh,guntakal_rly.,1
2010,andhrapradesh,guntakal_rly.,2
2011,andhrapradesh,guntakal_rly.,3
2012,andhrapradesh,guntakal_rly.,1
2013,andhrapradesh,guntakal_rly.,2
2001,andhrapradesh,guntur,129
2002,andhrapradesh,guntur,85
2003,andhrapradesh,guntur,99
2004,andhrapradesh,guntur,104
2005,andhrapradesh,guntur,203
2006,andhrapradesh,guntur,236
2007,andhrapradesh,guntur,214
2008,andhrapradesh,guntur,99
2009,andhrapradesh,guntur,451
2010,andhrapradesh,guntur,409
2011,andhrapradesh,guntur,140
2012,andhrapradesh,guntur,83
2013,andhrapradesh,guntur,135
2001,punjab,gurdaspur,0
2002,punjab,gurdaspur,0
2003,punjab,gurdaspur,0
2004,punjab,gurdaspur,0
2005,punjab,gurdaspur,0
2006,punjab,gurdaspur,0
2007,punjab,gurdaspur,0
2008,punjab,gurdaspur,0
2009,punjab,gurdaspur,0
2010,punjab,gurdaspur,2
2011,punjab,gurdaspur,0
2012,punjab,gurdaspur,0
2013,punjab,gurdaspur,1
2001,haryana,gurgaon,21
2002,haryana,gurgaon,57
2003,haryana,gurgaon,26
2004,haryana,gurgaon,18
2005,haryana,gurgaon,31
2006,haryana,gurgaon,56
2007,haryana,gurgaon,43
2008,haryana,gurgaon,32
2009,haryana,gurgaon,40
2010,haryana,gurgaon,38
2011,haryana,gurgaon,29
2012,haryana,gurgaon,31
2013,haryana,gurgaon,42
2001,assam,guwahati_city,0
2002,assam,guwahati_city,0
2003,assam,guwahati_city,0
2004,assam,guwahati_city,0
2005,assam,guwahati_city,0
2006,assam,guwahati_city,0
2007,assam,guwahati_city,0
2008,assam,guwahati_city,0
2009,assam,guwahati_city,0
2010,assam,guwahati_city,0
2011,assam,guwahati_city,0
2012,assam,guwahati_city,0
2013,assam,guwahati_city,0
2001,madhyapradesh,gwalior,8
2002,madhyapradesh,gwalior,12
2003,madhyapradesh,gwalior,6
2004,madhyapradesh,gwalior,9
2005,madhyapradesh,gwalior,11
2006,madhyapradesh,gwalior,13
2007,madhyapradesh,gwalior,20
2008,madhyapradesh,gwalior,17
2009,madhyapradesh,gwalior,20
2010,madhyapradesh,gwalior,18
2011,madhyapradesh,gwalior,14
2012,madhyapradesh,gwalior,13
2013,madhyapradesh,gwalior,47
2001,assam,hailakandi,0
2002,assam,hailakandi,0
2003,assam,hailakandi,2
2004,assam,hailakandi,1
2005,assam,hailakandi,1
2006,assam,hailakandi,0
2007,assam,hailakandi,0
2008,assam,hailakandi,0
2009,assam,hailakandi,0
2010,assam,hailakandi,0
2011,assam,hailakandi,0
2012,assam,hailakandi,0
2013,assam,hailakandi,0
2001,himachalpradesh,hamirpur,2
2001,uttarpradesh,hamirpur,7
2002,himachalpradesh,hamirpur,1
2002,uttarpradesh,hamirpur,4
2003,himachalpradesh,hamirpur,1
2003,uttarpradesh,hamirpur,5
2004,himachalpradesh,hamirpur,2
2004,uttarpradesh,hamirpur,6
2005,himachalpradesh,hamirpur,4
2005,uttarpradesh,hamirpur,11
2006,himachalpradesh,hamirpur,8
2006,uttarpradesh,hamirpur,7
2007,himachalpradesh,hamirpur,13
2007,uttarpradesh,hamirpur,5
2008,himachalpradesh,hamirpur,7
2008,uttarpradesh,hamirpur,5
2009,himachalpradesh,hamirpur,5
2009,uttarpradesh,hamirpur,9
2010,himachalpradesh,hamirpur,23
2010,uttarpradesh,hamirpur,0
2011,himachalpradesh,hamirpur,12
2011,uttarpradesh,hamirpur,0
2012,himachalpradesh,hamirpur,5
2012,uttarpradesh,hamirpur,0
2013,himachalpradesh,hamirpur,20
2013,uttarpradesh,hamirpur,5
2001,rajasthan,hanumangarh,0
2002,rajasthan,hanumangarh,1
2003,rajasthan,hanumangarh,1
2004,rajasthan,hanumangarh,0
2005,rajasthan,hanumangarh,0
2006,rajasthan,hanumangarh,0
2007,rajasthan,hanumangarh,1
2008,rajasthan,hanumangarh,0
2009,rajasthan,hanumangarh,0
2010,rajasthan,hanumangarh,0
2011,rajasthan,hanumangarh,0
2012,rajasthan,hanumangarh,0
2013,rajasthan,hanumangarh,1
2001,madhyapradesh,harda,0
2002,madhyapradesh,harda,8
2003,madhyapradesh,harda,0
2004,madhyapradesh,harda,3
2005,madhyapradesh,harda,0
2006,madhyapradesh,harda,2
2007,madhyapradesh,harda,14
2008,madhyapradesh,harda,39
2009,madhyapradesh,harda,7
2010,madhyapradesh,harda,5
2011,madhyapradesh,harda,9
2012,madhyapradesh,harda,4
2013,madhyapradesh,harda,3
2001,uttarpradesh,hardoi,21
2002,uttarpradesh,hardoi,36
2003,uttarpradesh,hardoi,83
2004,uttarpradesh,hardoi,76
2005,uttarpradesh,hardoi,48
2006,uttarpradesh,hardoi,26
2007,uttarpradesh,hardoi,26
2008,uttarpradesh,hardoi,30
2009,uttarpradesh,hardoi,13
2010,uttarpradesh,hardoi,0
2011,uttarpradesh,hardoi,0
2012,uttarpradesh,hardoi,0
2013,uttarpradesh,hardoi,0
2001,uttarakhand,haridwar,33
2002,uttarakhand,haridwar,30
2003,uttarakhand,haridwar,36
2004,uttarakhand,haridwar,43
2005,uttarakhand,haridwar,34
2006,uttarakhand,haridwar,58
2007,uttarakhand,haridwar,31
